priority,run_tag,dataset,split_protocol,split_seed,seed,target_budget,variant,gate_type,fusion_mode,disable_fusion_availability_mask,compact_export_strategy,lambda_budget,lambda_quality,lambda_pre_quality,pre_encoder_quality_hidden,aux_quality_degradation_prob,aux_quality_degradation_types,modality_dropout_prob,epochs,compact_finetune_epochs,note
1,full_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,full,hard_concrete,reliability,False,learned_threshold,1.0,0.0,0.0,16,0.0,noise,0.25,20,10,Full BRM-Net: budget gates + compact export + availability-aware modality dropout.
2,without_modality_dropout_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,without_modality_dropout,hard_concrete,reliability,False,learned_threshold,1.0,0.0,0.0,16,0.0,noise,0.0,20,10,Tests whether missing-modality robustness comes from dropout training.
3,budget_only_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,budget_only,hard_concrete,reliability,False,learned_threshold,1.0,0.0,0.0,16,0.0,noise,0.0,20,10,Compression mechanism without explicit missing-modality training.
4,without_budget_loss_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,without_budget_loss,hard_concrete,reliability,False,learned_threshold,0.0,0.0,0.0,16,0.0,noise,0.25,20,10,Reliability/dropout behavior without an active budget penalty.
5,without_reliability_uniform_fusion_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,without_reliability_uniform_fusion,hard_concrete,uniform,False,learned_threshold,1.0,0.0,0.0,16,0.0,noise,0.25,20,10,Ablates reliability weighting by averaging available modalities.
6,quality_supervised_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,quality_supervised,hard_concrete,reliability,False,learned_threshold,1.0,1.0,0.0,16,0.0,noise,0.25,20,10,Adds direct quality supervision so reliability routing can learn degradation-aware scores.
7,quality_degradation_supervised_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,quality_degradation_supervised,hard_concrete,reliability,False,learned_threshold,1.0,1.0,0.0,16,0.5,noise,0.25,20,10,Trains reliability scores with degraded-but-available auxiliary samples.
8,quality_multi_degradation_supervised_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,quality_multi_degradation_supervised,hard_concrete,reliability,False,learned_threshold,1.0,1.0,0.0,16,0.5,"noise,downsample_4,occlusion_50",0.25,20,10,"Trains reliability scores with noise, resolution-loss, and occlusion auxiliary degradation."
9,quality_multi_degradation_p025_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,quality_multi_degradation_p025,hard_concrete,reliability,False,learned_threshold,1.0,1.0,0.0,16,0.25,"noise,downsample_4,occlusion_50",0.25,20,10,Light multi-degradation supervision for balancing clean OA and adverse-modality robustness.
10,without_fusion_availability_mask_budget0p8_seed0,Houston2013-HS-LiDAR,official,42,0,0.8,without_fusion_availability_mask,hard_concrete,reliability,True,learned_threshold,1.0,1.0,0.0,16,0.25,"noise,downsample_4,occlusion_50",0.25,20,10,Ablates masked fusion by letting unavailable zero features still enter the reliability softmax.
